solID,perfQ,#changes,pas,reliability,
3,-0.11598574958366023,4.67,15.0,-0.8465975606077715,
4,-0.2107326499881367,14.03,13.0,-0.2971940505627285,
12,-0.11765494785513862,4.67,15.0,-0.6588074205627286,
23,-0.2107326499881367,14.03,13.0,-0.2971940505627285,
26,-0.11765494785513862,4.67,15.0,-0.6588074205627286,
27,-0.2107326499881367,14.03,13.0,-0.2971940505627285,
36,-0.2107326499881367,14.03,13.0,-0.2971940505627285,
40,-0.11764705882352941,4.67,14.0,-0.7875468106077714,
41,-0.11598574958366023,4.67,15.0,-0.8465975606077715,
43,-0.11765494785513862,4.67,15.0,-0.6588074205627286,
47,-0.2107326499881367,14.03,13.0,-0.2971940505627285,
96,-0.11598574958366023,4.67,15.0,-0.8465975606077715,
97,-0.2107326499881367,14.03,13.0,-0.2971940505627285,
99,-0.11764705882352941,4.67,14.0,-0.7875468106077714,
208,-0.11598574958366023,4.67,15.0,-0.8465975606077715,
209,-0.2107326499881367,14.03,13.0,-0.2971940505627285,
