solID,perfQ,#changes,pas,reliability
417,-0.19760006454505277,15.17,11.0,-0.1420154518992645
449,-0.18882274685190656,10.98,16.0,-0.8770654479411378
455,-0.13670650639837625,15.740000000000002,15.0,-0.36038241978476143
468,-0.11365014698980455,6.06,16.0,-0.8770654479411378
473,-0.1105601266234132,9.81,14.0,-0.3603824197847615
476,-0.1105601266234132,9.81,14.0,-0.3603824197847615
483,-0.18882274685190656,10.98,16.0,-0.8770654479411378
490,-0.19760006454505277,15.17,11.0,-0.1420154518992645
502,-0.19760006454505277,15.17,11.0,-0.1420154518992645
526,-0.18882274685190656,10.98,16.0,-0.8770654479411378
527,-0.1105601266234132,9.81,14.0,-0.3603824197847615
530,-0.19501263522622114,10.82,16.0,-0.8221078890360027
531,-0.13670650639837625,15.740000000000002,15.0,-0.36038241978476143
532,-0.07423612082126249,5.24,16.0,-0.7620888776568407
533,-0.18882274685190656,10.98,16.0,-0.8770654479411378
547,-0.18882274685190656,10.98,16.0,-0.8770654479411378
