algorithms,problem_name,search_budget,q_indicator,value
nsgaii,simplified-cocome,1800000,SPREAD,0.5520837004269432
nsgaii,simplified-cocome,1800000,IGD+,0.09439069955409657
nsgaii,simplified-cocome,1800000,IGD,0.03671944273169358
nsgaii,simplified-cocome,1800000,EP,0.27540650406504064
nsgaii,simplified-cocome,1800000,HV,0.36105773551898895
nsgaii,simplified-cocome,1800000,GSPREAD,0.44686793831411603
nsgaii,simplified-cocome,3600000,SPREAD,0.5913123475401263
nsgaii,simplified-cocome,3600000,IGD+,0.13297911003740476
nsgaii,simplified-cocome,3600000,IGD,0.031219302236680124
nsgaii,simplified-cocome,3600000,EP,0.3247683155994625
nsgaii,simplified-cocome,3600000,HV,0.335350003938401
nsgaii,simplified-cocome,3600000,GSPREAD,0.6684201577177105
nsgaii,simplified-cocome,900000,SPREAD,0.5857009701469179
nsgaii,simplified-cocome,900000,IGD+,0.19660236672138875
nsgaii,simplified-cocome,900000,IGD,0.0372241967200346
nsgaii,simplified-cocome,900000,EP,0.33638211382113814
nsgaii,simplified-cocome,900000,HV,0.2685712101320113
nsgaii,simplified-cocome,900000,GSPREAD,0.5042823423808814
pesa2,simplified-cocome,1800000,SPREAD,0.4965231714103492
pesa2,simplified-cocome,1800000,IGD+,0.15266330100868872
pesa2,simplified-cocome,1800000,IGD,0.03331102906190956
pesa2,simplified-cocome,1800000,EP,0.33028455284552827
pesa2,simplified-cocome,1800000,HV,0.32203742638380295
pesa2,simplified-cocome,1800000,GSPREAD,0.47503987257194097
pesa2,simplified-cocome,3600000,SPREAD,0.4800245257581294
pesa2,simplified-cocome,3600000,IGD+,0.11363821950354445
pesa2,simplified-cocome,3600000,IGD,0.03057701093039044
pesa2,simplified-cocome,3600000,EP,0.25555041532966705
pesa2,simplified-cocome,3600000,HV,0.3579422498717733
pesa2,simplified-cocome,3600000,GSPREAD,0.5215118141128456
pesa2,simplified-cocome,900000,SPREAD,0.5033000476810752
pesa2,simplified-cocome,900000,IGD+,0.16408979732329143
pesa2,simplified-cocome,900000,IGD,0.03576872153605639
pesa2,simplified-cocome,900000,EP,0.29142474599816476
pesa2,simplified-cocome,900000,HV,0.29334165127727946
pesa2,simplified-cocome,900000,GSPREAD,0.5225168322460843
spea2,simplified-cocome,1800000,SPREAD,0.4555283091837307
