case_study,brf,max_eval,prob_pas,search_budget,algorithm,q_indicator,value
train-ticket,moc_1.64,72,95,sb_900000,nsgaii,IGD+,0.11728942202809244
train-ticket,moc_1.64,72,95,sb_900000,nsgaii,IGD+,0.36155933957897396
train-ticket,moc_1.64,72,95,sb_900000,nsgaii,IGD+,0.3042307449631263
train-ticket,moc_1.64,72,95,sb_900000,nsgaii,EP,0.2954058137623408
train-ticket,moc_1.64,72,95,sb_900000,nsgaii,EP,0.49862055430810026
train-ticket,moc_1.64,72,95,sb_900000,nsgaii,EP,0.47931974581358244
train-ticket,moc_1.64,72,95,sb_900000,nsgaii,HV,0.34315550317950194
train-ticket,moc_1.64,72,95,sb_900000,nsgaii,HV,0.14828264246875997
train-ticket,moc_1.64,72,95,sb_900000,nsgaii,HV,0.1591781560915561
train-ticket,moc_1.64,72,95,sb_900000,nsgaii,GSPREAD,0.46154875657127964
train-ticket,moc_1.64,72,95,sb_900000,nsgaii,GSPREAD,0.49046343482282284
train-ticket,moc_1.64,72,95,sb_900000,nsgaii,GSPREAD,0.5601686591721626
train-ticket,moc_1.64,82,95,sb_900000,nsgaii,IGD+,0.20557524117744622
train-ticket,moc_1.64,82,95,sb_900000,nsgaii,IGD+,0.1712820854330059
train-ticket,moc_1.64,82,95,sb_900000,nsgaii,IGD+,0.24922933136332595
train-ticket,moc_1.64,82,95,sb_900000,nsgaii,EP,0.3102678571428571
train-ticket,moc_1.64,82,95,sb_900000,nsgaii,EP,0.2636545323908369
train-ticket,moc_1.64,82,95,sb_900000,nsgaii,EP,0.38020833333333326
train-ticket,moc_1.64,82,95,sb_900000,nsgaii,HV,0.229811913392508
train-ticket,moc_1.64,82,95,sb_900000,nsgaii,HV,0.28636033004845013
train-ticket,moc_1.64,82,95,sb_900000,nsgaii,HV,0.23133765515580337
train-ticket,moc_1.64,82,95,sb_900000,nsgaii,GSPREAD,0.4991526001241417
train-ticket,moc_1.64,82,95,sb_900000,nsgaii,GSPREAD,0.7879655464947485
train-ticket,moc_1.64,82,95,sb_900000,nsgaii,GSPREAD,0.5490844717828003
train-ticket,moc_1.64,102,95,sb_900000,nsgaii,IGD+,0.41031619717039214
train-ticket,moc_1.64,102,95,sb_900000,nsgaii,IGD+,0.24029521587786137
train-ticket,moc_1.64,102,95,sb_900000,nsgaii,IGD+,0.244738379580448
train-ticket,moc_1.64,102,95,sb_900000,nsgaii,EP,0.6390132144856666
train-ticket,moc_1.64,102,95,sb_900000,nsgaii,EP,0.4792962725673063
train-ticket,moc_1.64,102,95,sb_900000,nsgaii,EP,0.4323824889896437
train-ticket,moc_1.64,102,95,sb_900000,nsgaii,HV,0.10247166504732824
train-ticket,moc_1.64,102,95,sb_900000,nsgaii,HV,0.17487812489434287
train-ticket,moc_1.64,102,95,sb_900000,nsgaii,HV,0.224457126117682
train-ticket,moc_1.64,102,95,sb_900000,nsgaii,GSPREAD,0.4105407962854182
train-ticket,moc_1.64,102,95,sb_900000,nsgaii,GSPREAD,0.6917024980973596
train-ticket,moc_1.64,102,95,sb_900000,nsgaii,GSPREAD,0.30820754815469975
train-ticket,moc_1.64,72,95,sb_3600000,nsgaii,IGD+,0.2888100098381794
train-ticket,moc_1.64,72,95,sb_3600000,nsgaii,IGD+,0.18590173376695127
train-ticket,moc_1.64,72,95,sb_3600000,nsgaii,IGD+,0.2499468257650874
train-ticket,moc_1.64,72,95,sb_3600000,nsgaii,EP,0.5
train-ticket,moc_1.64,72,95,sb_3600000,nsgaii,EP,0.5
train-ticket,moc_1.64,72,95,sb_3600000,nsgaii,EP,0.3660714285714285
train-ticket,moc_1.64,72,95,sb_3600000,nsgaii,HV,0.1943986307047418
train-ticket,moc_1.64,72,95,sb_3600000,nsgaii,HV,0.22725688848021702
train-ticket,moc_1.64,72,95,sb_3600000,nsgaii,HV,0.23123598561241657
train-ticket,moc_1.64,72,95,sb_3600000,nsgaii,GSPREAD,1.1453693129034683
train-ticket,moc_1.64,72,95,sb_3600000,nsgaii,GSPREAD,0.35423951185505753
train-ticket,moc_1.64,72,95,sb_3600000,nsgaii,GSPREAD,0.3597544880987845
train-ticket,moc_1.64,82,95,sb_3600000,nsgaii,IGD+,0.1762580875382933
train-ticket,moc_1.64,82,95,sb_3600000,nsgaii,IGD+,0.30503154729956117
train-ticket,moc_1.64,82,95,sb_3600000,nsgaii,IGD+,0.150308748964329
train-ticket,moc_1.64,82,95,sb_3600000,nsgaii,EP,0.2678571428571429
train-ticket,moc_1.64,82,95,sb_3600000,nsgaii,EP,0.4479166666666666
train-ticket,moc_1.64,82,95,sb_3600000,nsgaii,EP,0.4097392654518228
train-ticket,moc_1.64,82,95,sb_3600000,nsgaii,HV,0.27601747035268653
train-ticket,moc_1.64,82,95,sb_3600000,nsgaii,HV,0.20945438036505573
train-ticket,moc_1.64,82,95,sb_3600000,nsgaii,HV,0.2605487063798152
train-ticket,moc_1.64,82,95,sb_3600000,nsgaii,GSPREAD,0.27509164251358287
train-ticket,moc_1.64,82,95,sb_3600000,nsgaii,GSPREAD,0.44406995155089996
train-ticket,moc_1.64,82,95,sb_3600000,nsgaii,GSPREAD,0.7278763276709308
train-ticket,moc_1.64,102,95,sb_3600000,nsgaii,IGD+,0.30758180031440124
train-ticket,moc_1.64,102,95,sb_3600000,nsgaii,IGD+,0.26090808309318303
train-ticket,moc_1.64,102,95,sb_3600000,nsgaii,IGD+,0.24710782619396013
train-ticket,moc_1.64,102,95,sb_3600000,nsgaii,EP,0.5806668959386139
train-ticket,moc_1.64,102,95,sb_3600000,nsgaii,EP,0.5
train-ticket,moc_1.64,102,95,sb_3600000,nsgaii,EP,0.4793209012074354
train-ticket,moc_1.64,102,95,sb_3600000,nsgaii,HV,0.1713044026230018
train-ticket,moc_1.64,102,95,sb_3600000,nsgaii,HV,0.2218425186877605
train-ticket,moc_1.64,102,95,sb_3600000,nsgaii,HV,0.2749531712745257
train-ticket,moc_1.64,102,95,sb_3600000,nsgaii,GSPREAD,0.7197591748217065
train-ticket,moc_1.64,102,95,sb_3600000,nsgaii,GSPREAD,0.33056800663950153
train-ticket,moc_1.64,102,95,sb_3600000,nsgaii,GSPREAD,0.5140836375752853
train-ticket,moc_1.64,72,95,sb_1800000,nsgaii,IGD+,0.13744455996813565
train-ticket,moc_1.64,72,95,sb_1800000,nsgaii,IGD+,0.15149258692050352
train-ticket,moc_1.64,72,95,sb_1800000,nsgaii,IGD+,0.27587528394079947
train-ticket,moc_1.64,72,95,sb_1800000,nsgaii,EP,0.25595238095238093
train-ticket,moc_1.64,72,95,sb_1800000,nsgaii,EP,0.2983630952380952
train-ticket,moc_1.64,72,95,sb_1800000,nsgaii,EP,0.46239000288871773
train-ticket,moc_1.64,72,95,sb_1800000,nsgaii,HV,0.3359497919137428
train-ticket,moc_1.64,72,95,sb_1800000,nsgaii,HV,0.42378522116074335
